Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;NA;PP;CAnda;PACMA;PSOE-A;VOX;PCPA;AxSÍ;RECORTES CERO - M+J - GV;UPYD;ADELANTE ANDALUCÍA;EQUO-INICIATIVA;IZAR;UNIDOS SÍ-Democracia Efectiva
18;1;Agrón;;237;0;237;154;10;0;83;144;144;16;0;38;0;0;76;5;0;1;0;1;7;0;0;0
18;2;Alamedilla;;535;0;535;336;3;2;199;333;331;24;0;71;0;0;199;23;0;0;0;0;13;1;0;0
18;3;Albolote;;14.341;0;14.341;8.793;359;132;5.548;8.434;8.302;1.749;14;1.729;6;189;1.885;1.118;20;15;16;14;1.503;34;6;4
18;4;Albondón;;684;0;684;407;9;3;277;398;395;30;0;129;0;2;160;57;0;0;1;0;16;0;0;0
18;5;Albuñán;;367;0;367;227;4;2;140;223;221;46;0;21;1;2;101;20;0;1;1;1;27;0;0;0
18;6;Albuñol;;4.063;0;4.063;2.505;69;35;1.558;2.436;2.401;285;2;602;2;19;775;491;3;1;3;0;215;2;0;1
18;7;Albuñuelas;;745;0;745;417;9;6;328;408;402;62;0;78;2;1;184;34;1;3;0;1;35;1;0;0
18;10;Aldeire;;539;0;539;360;13;1;179;347;346;51;0;45;1;4;133;31;4;1;3;2;66;3;1;1
18;11;Alfacar;;4.353;0;4.353;2.617;95;23;1.736;2.522;2.499;445;10;532;3;64;776;254;1;6;4;0;391;11;2;0
18;12;Algarinejo;;2.160;0;2.160;1.422;33;13;738;1.389;1.376;125;0;483;3;7;580;92;0;2;0;2;80;1;0;1
18;13;Alhama de Granada;;4.162;0;4.162;2.581;115;34;1.581;2.466;2.432;384;3;672;4;23;783;280;7;1;4;4;264;2;1;0
18;14;Alhendín;;6.858;0;6.858;4.084;197;77;2.774;3.887;3.810;893;2;936;2;88;725;501;12;4;12;10;607;13;3;2
18;15;Alicún de Ortega;;411;0;411;291;1;0;120;290;290;11;0;81;0;0;146;19;0;0;0;0;32;0;0;1
18;16;Almegíjar;;288;0;288;173;4;2;115;169;167;17;0;53;0;0;77;6;0;0;0;1;13;0;0;0
18;17;Almuñécar;;18.120;0;18.120;9.785;162;105;8.335;9.623;9.518;1.712;11;2.287;792;155;1.973;1.320;15;11;14;6;1.183;26;6;7
18;904;Alpujarra de la Sierra;;729;0;729;489;8;3;240;481;478;99;0;98;0;1;200;31;2;0;0;0;47;0;0;0
18;18;Alquife;;557;0;557;369;7;0;188;362;362;55;0;66;0;5;148;28;0;4;0;0;55;1;0;0
18;20;Arenas del Rey;;982;0;982;591;24;5;391;567;562;52;0;118;1;1;252;63;0;2;1;2;67;1;0;2
18;21;Armilla;;17.698;0;17.698;10.366;431;178;7.332;9.935;9.757;2.325;16;1.812;13;265;2.272;1.318;24;30;29;34;1.558;43;7;11
18;22;Atarfe;;13.756;2;13.758;7.525;346;125;6.233;7.179;7.054;1.602;10;1.002;13;173;1.840;928;23;13;13;8;1.391;20;7;11
18;23;Baza;;15.642;0;15.642;9.546;212;115;6.096;9.334;9.219;2.070;13;1.959;13;137;2.656;1.316;23;32;10;50;899;25;7;9
18;24;Beas de Granada;;838;0;838;561;25;13;277;536;523;46;1;104;1;3;201;65;1;5;1;0;94;1;0;0
18;25;Beas de Guadix;;282;0;282;175;2;0;107;173;173;34;0;41;0;0;65;10;1;2;0;0;20;0;0;0
18;27;Benalúa;;2.594;4;2.598;1.505;27;22;1.093;1.478;1.456;158;2;156;2;18;688;83;1;0;0;2;343;2;1;0
18;28;Benalúa de las Villas;;911;0;911;664;9;3;247;655;652;59;0;271;0;4;217;23;1;0;0;0;76;1;0;0
18;29;Benamaurel;;1.810;0;1.810;952;22;8;858;930;922;180;0;123;1;4;448;84;0;6;0;1;75;0;0;0
18;30;Bérchules;;567;0;567;367;4;10;200;363;353;61;0;80;0;6;134;48;1;1;1;1;18;0;1;1
18;32;Bubión;;242;0;242;149;2;0;93;147;147;18;0;40;0;3;41;15;0;0;0;0;29;1;0;0
18;33;Busquístar;;275;0;275;180;3;1;95;177;176;11;0;79;0;0;74;4;0;0;0;1;6;0;1;0
18;34;Cacín;;475;0;475;321;9;2;154;312;310;23;0;48;0;2;113;28;2;1;1;0;91;1;0;0
18;35;Cádiar;;1.179;1;1.180;827;20;7;353;807;800;69;1;303;0;5;314;47;0;1;1;3;55;1;0;0
18;36;Cájar;;3.904;0;3.904;2.578;89;36;1.326;2.489;2.453;562;2;651;0;44;402;314;7;5;7;6;430;16;6;1
18;37;Calicasas;;520;0;520;356;12;4;164;344;340;53;0;99;0;8;109;47;1;0;0;0;23;0;0;0
18;38;Campotéjar;;1.035;0;1.035;686;54;9;349;632;623;76;0;130;0;7;266;45;9;0;0;0;88;2;0;0
18;39;Caniles;;3.382;0;3.382;2.020;50;30;1.362;1.970;1.940;336;5;386;2;20;784;268;2;16;1;2;114;0;2;2
18;40;Cáñar;;217;0;217;119;1;1;98;118;117;14;1;18;0;0;54;5;0;0;1;0;24;0;0;0
18;42;Capileira;;420;0;420;308;14;11;112;294;283;50;1;72;0;3;88;25;0;1;0;0;43;0;0;0
18;43;Carataunas;;119;0;119;64;3;1;55;61;60;9;0;24;0;1;8;6;0;1;0;0;11;0;0;0
18;44;Cástaras;;163;0;163;90;1;2;73;89;87;7;0;27;0;1;35;13;0;1;0;0;2;1;0;0
18;45;Castilléjar;;1.070;0;1.070;605;17;7;465;588;581;57;1;111;0;2;306;71;1;0;0;1;29;2;0;0
18;46;Castril;;1.744;0;1.744;855;20;4;889;835;831;116;0;175;0;9;325;144;1;2;0;1;54;1;3;0
18;47;Cenes de la Vega;;6.034;0;6.034;3.336;133;58;2.698;3.203;3.145;718;6;524;3;94;735;377;8;9;5;8;631;23;2;2
18;59;Chauchina;;4.252;0;4.252;2.560;125;42;1.692;2.435;2.393;368;3;414;4;32;859;194;7;2;0;0;505;5;0;0
18;61;Chimeneas;;1.008;0;1.008;665;17;7;343;648;641;56;0;188;0;6;209;54;2;0;0;0;126;0;0;0
18;62;Churriana de la Vega;;10.952;0;10.952;6.722;303;76;4.230;6.419;6.343;1.387;13;1.520;4;164;1.331;827;11;23;15;11;1.007;16;6;8
18;48;Cijuela;;2.440;0;2.440;1.511;71;27;929;1.440;1.413;303;0;191;1;36;507;142;5;1;0;4;220;3;0;0
18;49;Cogollos de Guadix;;570;0;570;407;6;2;163;401;399;50;0;150;0;7;123;22;1;0;0;0;44;1;1;0
18;50;Cogollos de la Vega;;1.668;0;1.668;985;46;16;683;939;923;145;3;242;3;14;265;87;5;5;1;0;138;9;1;5
18;51;Colomera;;1.108;0;1.108;627;13;6;481;614;608;73;0;151;0;7;289;48;1;0;0;0;39;0;0;0
18;53;Cortes de Baza;;1.568;0;1.568;844;6;10;724;838;828;138;2;165;0;6;346;98;1;1;1;1;66;1;0;2
18;54;Cortes y Graena;;827;0;827;538;6;6;289;532;526;82;1;158;1;7;140;74;1;2;0;0;57;2;0;1
18;912;Cuevas del Campo;;1.388;0;1.388;799;13;3;589;786;783;110;0;138;0;1;439;41;0;1;0;1;52;0;0;0
18;56;Cúllar;;3.438;0;3.438;2.130;85;23;1.308;2.045;2.022;304;1;407;8;16;780;165;3;2;1;0;332;1;1;1
18;57;Cúllar Vega;;5.476;0;5.476;3.433;124;66;2.043;3.309;3.243;782;7;581;5;66;745;461;6;9;14;3;545;12;2;5
18;63;Darro;;1.203;0;1.203;532;3;2;671;529;527;62;0;138;0;5;208;92;1;0;0;0;19;1;0;1
18;64;Dehesas de Guadix;;365;0;365;264;5;3;101;259;256;21;0;83;0;0;112;26;0;0;0;0;12;1;0;1
18;65;Dehesas Viejas;;593;0;593;429;23;1;164;406;405;35;1;25;1;5;123;11;1;1;0;0;200;1;1;0
18;66;Deifontes;;2.095;0;2.095;1.250;40;13;845;1.210;1.197;133;2;154;0;9;537;99;7;5;0;2;244;3;0;2
18;67;Diezma;;664;0;664;415;8;3;249;407;404;56;0;95;0;1;205;34;0;0;0;0;11;0;0;2
18;68;Dílar;;1.597;0;1.597;1.039;40;15;558;999;984;149;0;293;1;14;235;117;0;2;0;2;162;4;2;3
18;69;Dólar;;497;0;497;302;9;1;195;293;292;29;0;86;0;2;85;35;0;0;0;12;41;1;0;1
18;915;Domingo Pérez de Granada;;730;0;730;444;10;9;286;434;425;46;0;84;0;2;232;16;0;1;0;0;43;1;0;0
18;70;Dúdar;;275;0;275;187;5;2;88;182;180;27;0;40;0;2;65;16;0;0;0;0;28;2;0;0
18;71;Dúrcal;;5.559;0;5.559;3.549;223;43;2.010;3.326;3.283;635;4;657;5;70;940;333;9;22;3;3;579;11;4;8
18;910;El Pinar;;738;0;738;380;8;7;358;372;365;37;1;131;0;1;120;32;0;2;1;0;39;0;1;0
18;902;El Valle;;766;0;766;562;27;7;204;535;528;49;1;109;2;4;244;48;0;1;0;1;67;1;0;1
18;72;Escúzar;;662;0;662;394;18;2;268;376;374;61;1;63;0;1;142;50;0;1;0;0;54;1;0;0
18;74;Ferreira;;264;0;264;184;8;2;80;176;174;22;0;45;0;1;75;24;0;0;0;0;6;0;1;0
18;76;Fonelas;;788;0;788;460;2;0;328;458;458;36;0;69;0;1;284;33;0;0;0;1;34;0;0;0
18;78;Freila;;705;0;705;457;7;0;248;450;450;34;0;98;0;2;203;34;0;1;0;0;77;0;1;0
18;79;Fuente Vaqueros;;3.437;0;3.437;2.239;127;31;1.198;2.112;2.081;209;11;189;2;27;1.064;128;12;0;0;3;423;8;3;2
18;82;Galera;;831;0;831;467;9;8;364;458;450;72;1;109;0;1;178;44;2;1;0;0;42;0;0;0
18;83;Gobernador;;222;0;222;165;2;1;57;163;162;20;0;53;1;0;57;19;0;0;2;0;10;0;0;0
18;84;Gójar;;4.421;0;4.421;2.768;95;46;1.653;2.673;2.627;583;3;580;2;57;602;355;8;3;5;5;406;16;1;1
18;85;Gor;;694;0;694;386;3;1;308;383;382;61;0;72;0;0;178;45;0;1;0;0;25;0;0;0
18;86;Gorafe;;340;0;340;234;6;0;106;228;228;15;0;23;0;0;159;1;1;0;0;0;28;1;0;0
18;87;Granada;;182.370;5;182.375;116.987;3.278;1.512;65.388;113.709;112.197;23.995;123;30.644;85;2.173;21.171;14.402;194;179;379;261;17.716;715;78;82
18;88;Guadahortuna;;1.507;0;1.507;899;14;13;608;885;872;58;0;137;1;4;378;22;4;4;0;2;262;0;0;0
18;89;Guadix;;14.567;1;14.568;8.661;196;94;5.907;8.465;8.371;1.288;3;2.382;11;107;2.674;925;8;7;12;17;905;22;8;2
18;93;Gualchos;;2.736;0;2.736;1.519;23;12;1.217;1.496;1.484;186;0;420;4;15;533;194;6;6;3;3;113;1;0;0
18;94;Güéjar Sierra;;2.283;0;2.283;1.568;69;23;715;1.499;1.476;116;0;657;0;10;418;109;2;1;1;2;155;1;2;2
18;95;Güevéjar;;2.009;0;2.009;1.207;63;17;802;1.144;1.127;191;4;201;0;31;378;138;2;5;50;1;125;0;0;1
18;96;Huélago;;335;0;335;187;1;0;148;186;186;14;0;35;0;2;106;14;0;0;0;0;14;0;0;1
18;97;Huéneja;;941;0;941;563;7;6;378;556;550;100;0;146;0;4;185;43;2;1;0;3;65;1;0;0
18;98;Huéscar;;5.966;0;5.966;3.432;60;41;2.534;3.372;3.331;622;1;816;0;15;1.330;256;0;1;2;4;259;23;0;2
18;99;Huétor de Santillán;;1.577;0;1.577;1.073;61;16;504;1.012;996;178;2;196;0;18;296;100;1;2;2;0;198;3;0;0
18;100;Huétor Tájar;;7.941;6;7.947;4.829;175;70;3.118;4.654;4.584;718;10;904;8;66;1.827;328;11;5;5;17;664;15;2;4
18;101;Huétor Vega;;9.372;0;9.372;5.812;232;101;3.560;5.580;5.479;1.137;4;1.220;7;130;1.130;671;13;11;15;12;1.088;30;9;2
18;102;Íllora;;8.263;0;8.263;4.677;214;61;3.586;4.463;4.402;591;6;842;1;85;1.938;237;13;6;9;4;651;8;4;7
18;103;Ítrabo;;721;0;721;467;5;2;254;462;460;52;1;131;0;2;204;50;0;0;0;1;16;1;0;2
18;105;Iznalloz;;3.806;0;3.806;2.022;102;18;1.784;1.920;1.902;219;4;309;5;12;848;157;14;1;2;1;325;4;0;1
18;106;Játar;;414;0;414;238;11;4;176;227;223;36;0;68;0;2;99;12;0;0;0;0;6;0;0;0
18;107;Jayena;;932;0;932;589;21;4;343;568;564;40;1;154;0;4;295;30;0;0;1;0;39;0;0;0
18;108;Jerez del Marquesado;;829;0;829;558;16;9;271;542;533;65;1;112;0;7;237;33;4;0;0;1;71;0;0;2
18;109;Jete;;600;0;600;339;4;3;261;335;332;47;0;117;2;1;109;33;0;1;0;1;20;1;0;0
18;111;Jun;;2.845;0;2.845;1.656;61;29;1.189;1.595;1.566;331;1;219;1;36;419;201;8;8;4;5;322;7;3;1
18;112;Juviles;;107;0;107;62;6;0;45;56;56;10;0;15;0;1;18;11;0;0;0;0;1;0;0;0
18;114;La Calahorra;;584;0;584;381;3;1;203;378;377;38;0;75;0;6;155;41;2;0;0;1;57;1;1;0
18;126;La Malahá;;1.454;1;1.455;919;44;25;536;875;850;107;0;92;0;16;294;47;6;2;3;0;281;1;0;1
18;154;La Peza;;978;0;978;561;1;2;417;560;558;43;0;212;0;0;203;83;0;0;0;0;17;0;0;0
18;901;La Taha;;491;0;491;272;7;3;219;265;262;25;0;80;0;5;68;30;1;0;0;1;51;1;0;0
18;193;La Zubia;;14.670;0;14.670;8.839;330;145;5.831;8.509;8.364;1.838;19;1.780;6;258;1.702;1.049;23;24;26;19;1.532;75;8;5
18;115;Láchar;;2.615;0;2.615;1.583;26;30;1.032;1.557;1.527;204;3;275;3;14;569;121;2;3;1;1;330;1;0;0
18;116;Lanjarón;;2.834;0;2.834;1.911;73;23;923;1.838;1.815;217;3;641;2;22;532;128;5;7;5;2;237;8;2;4
18;117;Lanteira;;500;0;500;317;19;2;183;298;296;17;1;66;2;2;142;23;3;0;0;0;38;0;1;1
18;905;Las Gabias;;15.427;0;15.427;8.907;406;179;6.520;8.501;8.322;1.857;14;1.687;10;252;1.893;1.119;21;31;22;19;1.346;39;6;6
18;119;Lecrín;;1.690;0;1.690;1.129;45;21;561;1.084;1.063;168;1;316;0;20;328;89;1;0;0;0;134;4;0;2
18;120;Lentegí;;258;0;258;184;3;4;74;181;177;14;0;24;2;4;118;8;0;0;0;0;7;0;0;0
18;121;Lobras;;130;0;130;85;4;2;45;81;79;6;0;20;0;0;33;3;0;1;0;0;15;0;0;1
18;122;Loja;;15.959;0;15.959;9.896;300;134;6.063;9.596;9.462;1.536;13;2.650;11;157;3.291;822;13;22;20;8;890;18;2;9
18;906;Los Guájares;;889;0;889;605;8;5;284;597;592;48;0;220;0;1;192;74;0;0;0;0;56;1;0;0
18;123;Lugros;;287;0;287;184;3;3;103;181;178;31;0;39;0;0;87;13;0;0;0;0;7;0;1;0
18;124;Lújar;;360;0;360;208;7;0;152;201;201;12;0;98;0;1;52;29;1;0;0;0;8;0;0;0
18;127;Maracena;;16.712;0;16.712;10.089;428;168;6.623;9.661;9.493;1.997;9;1.480;11;242;2.623;1.002;26;14;33;18;1.974;41;15;8
18;128;Marchal;;334;0;334;222;7;2;112;215;213;15;0;82;2;3;61;14;0;1;0;0;34;0;1;0
18;132;Moclín;;3.142;0;3.142;2.127;59;20;1.015;2.068;2.048;266;3;271;0;24;1.017;63;7;2;1;1;390;2;0;1
18;133;Molvízar;;2.118;0;2.118;1.423;25;17;695;1.398;1.381;110;0;615;0;10;424;117;3;1;1;1;95;4;0;0
18;134;Monachil;;6.039;0;6.039;3.380;114;62;2.659;3.266;3.204;609;5;676;7;75;610;501;0;13;8;9;662;23;3;3
18;135;Montefrío;;4.420;0;4.420;2.455;127;23;1.965;2.328;2.305;367;1;466;1;43;1.073;143;8;8;2;1;187;2;0;3
18;136;Montejícar;;1.795;0;1.795;1.180;59;7;615;1.121;1.114;103;2;210;0;9;549;50;3;2;0;2;182;1;0;1
18;137;Montillana;;945;0;945;593;16;4;352;577;573;56;0;242;0;2;217;40;0;0;0;0;16;0;0;0
18;138;Moraleda de Zafayona;;2.472;0;2.472;1.279;37;11;1.193;1.242;1.231;121;1;160;1;5;483;120;8;1;0;1;327;1;0;2
18;909;Morelábor;;535;0;535;371;5;1;164;366;365;25;0;115;0;0;168;36;0;1;0;0;18;0;0;2
18;140;Motril;;43.980;1;43.981;23.830;542;332;20.151;23.288;22.956;3.775;53;5.611;44;434;5.727;2.756;46;815;39;30;3.461;145;8;12
18;141;Murtas;;378;0;378;215;3;0;163;212;212;28;2;109;0;0;41;19;0;0;0;0;13;0;0;0
18;903;Nevada;;867;0;867;501;12;3;366;489;486;69;0;112;0;1;197;79;0;0;1;1;25;0;0;1
18;143;Nigüelas;;954;0;954;600;35;3;354;565;562;97;1;83;0;15;159;41;2;0;2;0;156;2;0;4
18;144;Nívar;;793;0;793;499;24;6;294;475;469;107;1;110;0;8;69;73;0;0;3;1;94;3;0;0
18;145;Ogíjares;;10.800;6;10.806;6.789;255;101;4.017;6.534;6.433;1.527;9;1.417;7;156;1.247;958;9;7;21;14;1.012;40;3;6
18;146;Orce;;941;0;941;584;20;5;357;564;559;109;2;110;0;3;225;50;1;1;0;2;49;5;0;2
18;147;Órgiva;;3.664;0;3.664;2.024;68;31;1.640;1.956;1.925;274;4;462;1;21;707;139;4;4;3;0;293;7;3;3
18;148;Otívar;;804;0;804;558;8;8;246;550;542;40;0;209;1;8;184;42;0;3;0;0;55;0;0;0
18;150;Padul;;6.816;0;6.816;4.154;169;70;2.662;3.985;3.915;723;3;889;6;61;1.024;398;7;3;2;6;772;9;6;6
18;151;Pampaneira;;249;0;249;148;5;0;101;143;143;12;1;25;0;2;71;12;0;0;0;0;19;1;0;0
18;152;Pedro Martínez;;911;0;911;619;10;2;292;609;607;44;1;67;0;0;447;17;0;0;0;0;31;0;0;0
18;153;Peligros;;8.747;0;8.747;5.259;200;69;3.488;5.059;4.990;1.139;14;868;1;120;1.023;637;21;10;9;3;1.125;15;3;2
18;157;Pinos Genil;;1.151;0;1.151;721;26;7;430;695;688;129;1;187;0;10;148;88;1;4;1;1;111;4;1;2
18;158;Pinos Puente;;8.027;1;8.028;4.205;111;62;3.823;4.094;4.032;689;2;528;5;49;1.661;242;17;6;4;3;816;6;4;0
18;159;Píñar;;990;0;990;683;14;4;307;669;665;34;0;64;0;4;237;45;3;0;0;0;278;0;0;0
18;161;Polícar;;215;0;215;177;0;3;38;177;174;17;0;65;0;1;72;8;0;0;1;0;10;0;0;0
18;162;Polopos;;929;0;929;606;7;6;323;599;593;43;1;192;0;6;220;85;0;0;0;0;43;2;0;1
18;163;Pórtugos;;311;0;311;186;5;2;125;181;179;16;0;62;0;2;56;21;0;0;0;0;22;0;0;0
18;164;Puebla de Don Fadrique;;1.814;0;1.814;1.009;23;9;805;986;977;116;2;371;1;2;290;108;3;1;1;1;79;1;0;1
18;165;Pulianas;;4.198;1;4.199;2.435;91;43;1.764;2.344;2.301;486;3;341;2;76;695;247;3;1;8;4;420;9;3;3
18;167;Purullena;;1.850;0;1.850;1.074;29;17;776;1.045;1.028;112;0;220;0;9;457;78;1;3;2;0;144;0;1;1
18;168;Quéntar;;775;0;775;490;16;8;285;474;466;141;0;98;0;7;112;27;1;1;2;1;71;3;0;2
18;170;Rubite;;320;0;320;182;2;2;138;180;178;21;0;39;0;3;91;10;1;0;1;0;12;0;0;0
18;171;Salar;;2.096;0;2.096;1.420;52;14;676;1.368;1.354;134;2;176;0;10;541;101;5;3;0;1;377;3;0;1
18;173;Salobreña;;8.932;0;8.932;5.052;164;79;3.880;4.888;4.809;758;10;942;3;95;1.595;428;5;16;6;5;927;12;4;3
18;174;Santa Cruz del Comercio;;435;0;435;318;5;3;117;313;310;33;0;52;0;2;162;33;1;1;0;0;26;0;0;0
18;175;Santa Fe;;11.729;0;11.729;7.261;272;97;4.468;6.989;6.892;1.323;12;1.487;13;122;2.123;856;10;8;18;8;882;20;7;3
18;176;Soportújar;;234;0;234;146;0;2;88;146;144;5;0;7;0;0;104;3;0;0;0;0;25;0;0;0
18;177;Sorvilán;;374;0;374;193;3;5;181;190;185;20;0;64;1;1;73;13;0;0;0;0;13;0;0;0
18;178;Torre-Cardela;;677;0;677;447;7;5;230;440;435;43;0;145;0;4;190;23;0;1;0;0;29;0;0;0
18;179;Torvizcón;;507;0;507;303;4;6;204;299;293;26;0;80;0;4;148;18;1;0;0;0;16;0;0;0
18;180;Trevélez;;634;0;634;324;13;5;310;311;306;53;1;44;0;3;113;29;1;1;0;0;55;2;2;2
18;181;Turón;;205;0;205;118;1;1;87;117;116;2;0;71;0;1;17;22;0;0;0;0;3;0;0;0
18;182;Ugíjar;;1.917;0;1.917;1.120;18;6;797;1.102;1.096;130;0;260;0;4;526;117;0;0;3;2;50;4;0;0
18;914;Valderrubio;;1.649;0;1.649;1.111;45;14;538;1.066;1.052;145;0;109;1;17;494;54;4;3;0;0;222;1;1;1
18;907;Valle del Zalabí;;1.786;0;1.786;1.205;21;9;581;1.184;1.175;131;0;303;0;3;522;138;0;0;3;0;72;2;1;0
18;183;Válor;;626;0;626;380;5;6;246;375;369;65;0;81;0;4;147;39;0;0;0;1;30;2;0;0
18;911;Vegas del Genil;;7.821;0;7.821;4.629;210;83;3.192;4.419;4.336;969;8;868;4;100;904;691;7;11;17;12;722;15;5;3
18;184;Vélez de Benaudalla;;2.156;0;2.156;1.378;38;17;778;1.340;1.323;118;0;266;3;16;558;151;4;0;1;1;200;4;0;1
18;185;Ventas de Huelma;;523;0;523;365;4;5;158;361;356;58;1;68;0;8;106;55;0;0;0;0;59;0;0;1
18;149;Villa de Otura;;5.380;0;5.380;3.526;131;40;1.854;3.395;3.355;767;4;805;3;82;711;466;1;5;7;8;483;13;0;0
18;908;Villamena;;794;0;794;493;37;3;301;456;453;91;0;108;0;2;126;42;3;2;1;0;77;0;0;1
18;187;Villanueva de las Torres;;512;0;512;329;4;1;183;325;324;34;0;50;0;1;194;17;0;2;0;0;26;0;0;0
18;188;Villanueva Mesía;;1.650;0;1.650;1.101;36;16;549;1.065;1.049;122;1;220;1;5;529;53;0;1;1;0;113;3;0;0
18;189;Víznar;;767;0;767;515;12;9;252;503;494;87;1;102;1;5;131;41;1;0;2;1;118;2;1;1
18;192;Zafarraya;;1.455;1;1.456;1.012;15;4;444;997;993;119;0;190;1;7;477;63;3;1;0;0;128;2;0;2
18;913;Zagra;;776;0;776;502;15;5;274;487;482;78;2;227;0;5;121;33;0;0;0;0;15;1;0;0
18;194;Zújar;;2.061;0;2.061;1.127;22;21;934;1.105;1.084;166;0;174;1;4;483;138;1;0;0;0;115;0;0;2
18;990;Residentes Ausentes Granada;;49.014;0;49.014;1.303;271;14;47.711;1.032;1.018;227;7;149;1;39;219;67;8;3;12;12;241;32;0;1
Total;;;;750.102;30;750.132;427.755;13.976;5.763;322.377;413.779;408.016;76.176;541;95.379;1.189;7.375;111.380;47.064;845;1.553;950;748;62.447;1.763;280;326
