Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;VOX;NA;PACMA;FE de las JONS;ADELANTE ANDALUCÍA;AxSÍ;PSOE-A;PP;EQUO-INICIATIVA;ConecAnd;PCPA;UPYD;ALTER;CILUS;IZAR;SOLUCIONA;RECORTES CERO - M+J - GV
29;1;Alameda;;4.194;0;4.194;2.585;64;49;1.609;2.521;2.472;216;77;1;32;0;792;2;966;373;0;0;5;3;1;0;0;1;3
29;2;Alcaucín;;1.148;0;1.148;692;17;9;456;675;666;93;52;3;9;0;67;7;279;152;0;1;0;1;0;2;0;0;0
29;3;Alfarnate;;937;0;937;638;27;6;299;611;605;68;44;0;2;0;88;1;276;119;1;0;2;1;0;2;0;0;1
29;4;Alfarnatejo;;296;0;296;191;5;2;105;186;184;14;10;0;0;0;19;0;84;55;0;0;1;0;0;0;1;0;0
29;5;Algarrobo;;4.488;0;4.488;2.632;32;36;1.856;2.600;2.564;408;380;3;41;1;204;16;693;785;11;1;5;1;2;4;3;1;5
29;6;Algatocín;;668;0;668;391;6;5;277;385;380;46;42;0;4;1;25;2;131;127;0;0;1;1;0;0;0;0;0
29;7;Alhaurín de la Torre;;28.415;0;28.415;16.776;241;255;11.639;16.535;16.280;3.890;2.242;11;474;10;2.519;30;3.070;3.702;150;17;21;38;9;41;7;10;39
29;8;Alhaurín el Grande;;15.022;2;15.024;8.806;134;128;6.218;8.672;8.544;1.370;1.338;6;145;5;809;19;1.945;2.813;18;4;1;6;7;37;3;4;14
29;9;Almáchar;;1.430;0;1.430;924;32;9;506;892;883;86;11;0;10;0;257;2;394;111;4;1;0;2;0;2;1;0;2
29;10;Almargen;;1.615;0;1.615;1.139;78;13;476;1.061;1.048;106;54;0;13;0;178;0;459;225;0;1;4;5;1;2;0;0;0
29;11;Almogía;;2.857;0;2.857;1.450;23;10;1.407;1.427;1.417;189;121;3;22;2;133;6;670;247;3;0;0;1;1;13;0;3;3
29;12;Álora;;9.722;0;9.722;5.859;167;81;3.863;5.692;5.611;768;392;6;100;3;868;12;2.027;1.363;11;7;4;13;14;12;4;3;4
29;13;Alozaina;;1.590;0;1.590;1.088;33;14;502;1.055;1.041;114;52;0;11;0;226;3;421;202;2;0;1;0;1;6;0;1;1
29;14;Alpandeire;;211;0;211;116;1;4;95;115;111;20;10;1;2;1;20;0;33;22;0;0;0;0;0;1;1;0;0
29;15;Antequera;;32.001;2;32.003;18.831;372;269;13.172;18.459;18.190;3.321;1.638;16;275;11;2.129;35;5.470;5.050;55;13;18;19;12;66;14;14;34
29;16;Árchez;;246;0;246;170;0;2;76;170;168;9;10;0;2;0;18;0;56;71;0;0;0;0;0;0;1;1;0
29;17;Archidona;;6.413;0;6.413;4.140;142;63;2.273;3.998;3.935;574;261;4;62;1;616;7;1.668;687;11;2;19;4;3;5;1;4;6
29;18;Ardales;;1.991;0;1.991;1.314;70;21;677;1.244;1.223;168;70;1;15;2;229;5;465;233;2;1;11;4;1;4;3;4;5
29;19;Arenas;;861;0;861;594;15;8;267;579;571;45;31;1;0;0;193;0;141;160;0;0;0;0;0;0;0;0;0
29;20;Arriate;;3.269;0;3.269;2.123;67;34;1.146;2.056;2.022;243;138;2;17;2;841;2;501;247;3;1;5;1;1;12;3;2;1
29;21;Atajate;;153;0;153;86;1;1;67;85;84;8;8;0;2;0;6;0;36;24;0;0;0;0;0;0;0;0;0
29;22;Benadalid;;170;0;170;110;1;1;60;109;108;12;3;0;0;0;28;0;50;13;1;0;0;0;0;1;0;0;0
29;23;Benahavís;;2.252;0;2.252;1.132;10;2;1.120;1.122;1.120;293;218;0;34;0;91;5;153;312;2;0;2;0;0;6;2;1;1
29;24;Benalauría;;374;0;374;192;6;4;182;186;182;42;22;0;2;0;11;0;66;37;1;0;0;0;0;0;1;0;0
29;25;Benalmádena;;41.156;1;41.157;22.134;261;258;19.023;21.873;21.615;5.103;2.780;21;699;12;3.762;50;4.289;4.550;106;14;48;28;9;83;10;17;34
29;26;Benamargosa;;1.013;0;1.013;610;14;12;403;596;584;44;29;2;4;0;134;4;214;147;2;1;1;1;1;0;0;0;0
29;27;Benamocarra;;2.298;0;2.298;1.376;21;13;922;1.355;1.342;187;104;1;29;0;149;2;470;397;1;0;0;0;0;1;0;1;0
29;28;Benaoján;;1.216;0;1.216;702;39;4;514;663;659;96;49;0;5;1;107;1;285;100;0;0;7;0;1;6;0;0;1
29;29;Benarrabá;;378;0;378;247;4;3;131;243;240;21;12;0;4;0;34;0;84;82;1;0;1;0;0;1;0;0;0
29;32;Campillos;;6.655;0;6.655;4.521;146;86;2.134;4.375;4.289;575;320;5;36;3;1.205;8;1.414;646;14;2;12;3;1;34;6;1;4
29;33;Canillas de Aceituno;;1.080;0;1.080;637;11;14;443;626;612;59;46;0;6;4;46;0;265;177;2;3;1;0;0;2;0;1;0
29;34;Canillas de Albaida;;468;0;468;340;3;2;128;337;335;35;63;0;7;0;11;0;76;139;0;0;3;0;0;1;0;0;0
29;35;Cañete la Real;;1.504;0;1.504;957;31;5;547;926;921;49;42;4;2;1;262;0;408;138;1;0;5;1;0;4;4;0;0
29;36;Carratraca;;615;0;615;347;11;7;268;336;329;44;17;0;0;0;79;1;126;59;0;0;1;0;1;0;1;0;0
29;37;Cartajima;;214;0;214;151;7;0;63;144;144;15;16;0;2;0;6;0;47;56;0;0;0;0;2;0;0;0;0
29;38;Cártama;;18.517;0;18.517;9.594;177;164;8.923;9.417;9.253;1.706;1.170;12;224;13;1.543;28;2.566;1.849;24;7;17;23;11;27;4;13;16
29;39;Casabermeja;;2.719;0;2.719;1.613;40;29;1.106;1.573;1.544;173;105;1;37;4;541;0;385;246;15;2;19;3;0;8;2;1;2
29;40;Casarabonela;;1.922;0;1.922;1.163;23;20;759;1.140;1.120;140;83;0;18;4;120;2;395;346;2;0;0;0;3;3;2;0;2
29;41;Casares;;3.486;0;3.486;1.908;52;29;1.578;1.856;1.827;311;170;2;31;0;566;9;424;285;4;0;7;3;0;5;1;0;9
29;42;Coín;;14.317;0;14.317;8.240;155;99;6.077;8.085;7.986;1.669;1.224;11;121;4;978;112;1.784;1.938;25;8;7;22;8;51;2;7;15
29;43;Colmenar;;2.474;1;2.475;1.379;39;40;1.096;1.340;1.300;200;102;0;15;0;146;1;529;289;5;0;3;2;0;1;3;1;3
29;44;Comares;;762;0;762;454;5;4;308;449;445;68;21;0;2;0;21;1;151;181;0;0;0;0;0;0;0;0;0
29;45;Cómpeta;;1.675;0;1.675;1.024;19;14;651;1.005;991;139;164;1;18;3;123;2;248;278;6;3;0;0;0;2;1;0;3
29;46;Cortes de la Frontera;;2.569;0;2.569;1.561;51;19;1.008;1.510;1.491;252;164;1;26;0;156;2;550;319;3;0;3;1;0;8;2;2;2
29;47;Cuevas Bajas;;1.088;0;1.088;827;17;8;261;810;802;50;15;0;6;0;245;1;389;88;1;0;4;0;0;2;1;0;0
29;49;Cuevas de San Marcos;;2.923;1;2.924;1.801;27;11;1.123;1.774;1.763;148;72;1;25;0;357;7;837;305;1;3;1;2;0;2;1;1;0
29;48;Cuevas del Becerro;;1.368;0;1.368;1.000;24;15;368;976;961;55;18;0;2;0;379;0;428;72;1;0;3;1;0;1;0;1;0
29;50;Cútar;;399;0;399;230;1;4;169;229;225;40;10;0;3;0;16;0;97;54;0;0;0;1;0;4;0;0;0
29;30;El Borge;;774;0;774;569;5;4;205;564;560;21;7;0;8;0;185;2;315;16;1;0;0;3;1;1;0;0;0
29;31;El Burgo;;1.573;2;1.575;841;26;27;734;815;788;105;32;1;7;0;177;0;362;94;2;0;0;5;0;0;0;0;3
29;51;Estepona;;41.440;1;41.441;22.217;444;323;19.224;21.773;21.450;4.679;2.917;34;417;24;2.710;61;4.374;5.890;77;30;24;21;14;121;11;13;33
29;52;Faraján;;214;0;214;128;0;0;86;128;128;17;9;0;2;0;9;2;54;34;0;0;1;0;0;0;0;0;0
29;53;Frigiliana;;1.689;0;1.689;981;11;28;708;970;942;167;99;2;21;2;123;7;225;253;36;0;1;1;1;1;1;0;2
29;54;Fuengirola;;42.322;0;42.322;24.112;227;216;18.210;23.885;23.669;4.644;2.872;37;508;69;2.950;72;4.743;7.379;112;17;37;34;19;108;7;16;45
29;55;Fuente de Piedra;;1.839;0;1.839;1.310;14;11;529;1.296;1.285;163;143;2;21;5;224;5;491;217;1;1;1;1;2;4;1;3;0
29;56;Gaucín;;1.070;0;1.070;685;19;2;385;666;664;76;56;2;9;0;50;3;199;261;0;0;2;0;0;2;1;0;3
29;57;Genalguacil;;331;0;331;229;5;0;102;224;224;9;19;0;1;1;18;1;109;66;0;0;0;0;0;0;0;0;0
29;58;Guaro;;1.490;0;1.490;852;21;9;638;831;822;199;112;0;8;2;60;4;279;145;2;1;1;3;1;4;0;0;1
29;59;Humilladero;;2.629;0;2.629;1.736;81;27;893;1.655;1.628;118;72;1;20;0;642;3;533;223;3;0;8;0;2;2;0;1;0
29;60;Igualeja;;662;0;662;422;5;2;240;417;415;48;50;1;1;1;14;3;118;178;0;0;0;0;0;1;0;0;0
29;61;Istán;;1.018;0;1.018;713;34;8;305;679;671;82;44;3;7;4;250;1;156;114;0;0;4;2;1;0;0;2;1
29;62;Iznate;;648;0;648;529;10;7;119;519;512;27;20;0;5;0;14;0;265;181;0;0;0;0;0;0;0;0;0
29;63;Jimera de Líbar;;299;0;299;220;2;3;79;218;215;21;23;0;1;0;21;1;55;88;0;0;1;1;0;3;0;0;0
29;64;Jubrique;;436;0;436;287;22;5;149;265;260;41;19;1;1;0;14;0;111;69;1;0;0;0;0;2;0;0;1
29;65;Júzcar;;189;0;189;123;1;1;66;122;121;11;7;1;3;0;6;0;30;61;0;0;0;0;0;1;0;1;0
29;66;Macharaviaya;;340;0;340;200;0;0;140;200;200;20;11;0;3;0;30;1;75;55;1;1;2;0;0;1;0;0;0
29;67;Málaga;;428.593;27;428.620;243.951;2.859;3.392;184.669;241.092;237.700;51.836;27.781;297;7.613;157;41.084;645;53.421;49.990;1.569;182;521;505;217;838;175;203;666
29;68;Manilva;;7.601;0;7.601;3.878;93;38;3.723;3.785;3.747;951;601;4;66;3;524;20;763;729;17;4;9;6;4;33;3;5;5
29;69;Marbella;;86.599;0;86.599;43.706;770;636;42.893;42.936;42.300;9.044;5.711;78;1.021;32;5.413;116;10.352;9.768;193;29;97;58;34;203;22;42;87
29;70;Mijas;;42.647;0;42.647;22.654;312;304;19.993;22.342;22.038;4.779;3.112;51;784;14;3.134;105;4.607;4.910;144;25;45;48;26;117;19;28;90
29;71;Moclinejo;;968;0;968;574;13;8;394;561;553;39;19;1;7;1;58;0;226;198;1;0;0;0;0;0;1;1;1
29;72;Mollina;;3.253;0;3.253;2.114;75;28;1.139;2.039;2.011;222;113;1;26;0;267;4;881;470;10;1;5;1;2;3;2;1;2
29;73;Monda;;1.633;0;1.633;925;19;16;708;906;890;96;105;0;11;2;210;7;298;146;1;0;4;1;1;7;0;1;0
29;903;Montecorto;;498;0;498;274;2;7;224;272;265;35;15;0;2;0;28;2;124;57;0;0;0;0;0;2;0;0;0
29;74;Montejaque;;781;0;781;492;5;5;289;487;482;62;46;0;2;0;37;2;204;124;2;0;1;0;0;2;0;0;0
29;75;Nerja;;12.917;0;12.917;7.096;94;89;5.821;7.002;6.913;1.126;832;7;107;1;1.100;15;1.603;2.076;13;2;8;8;2;6;1;2;4
29;76;Ojén;;2.290;0;2.290;1.257;38;27;1.033;1.219;1.192;222;178;3;12;0;121;4;416;216;4;0;6;3;0;5;0;1;1
29;77;Parauta;;205;0;205;127;1;39;78;126;87;5;15;1;0;0;16;0;31;17;1;0;0;0;0;0;0;0;1
29;79;Periana;;2.334;0;2.334;1.495;50;20;839;1.445;1.425;150;61;2;11;0;224;6;662;297;1;0;0;3;1;6;0;0;1
29;80;Pizarra;;6.847;0;6.847;4.081;76;58;2.766;4.005;3.947;588;345;4;62;3;611;16;1.108;1.163;9;1;4;13;4;10;1;2;3
29;81;Pujerra;;244;0;244;168;3;6;76;165;159;18;18;0;0;0;3;0;63;57;0;0;0;0;0;0;0;0;0
29;82;Rincón de la Victoria;;33.647;0;33.647;20.109;263;267;13.538;19.846;19.579;4.817;2.307;16;555;10;3.465;51;3.668;4.362;127;6;16;51;7;52;7;13;49
29;83;Riogordo;;2.040;0;2.040;1.334;41;13;706;1.293;1.280;88;46;1;9;0;106;2;562;451;1;1;3;0;4;6;0;0;0
29;84;Ronda;;27.188;0;27.188;15.404;394;279;11.784;15.010;14.731;3.049;2.040;13;221;11;1.825;68;3.848;3.452;36;4;22;14;6;85;7;13;17
29;85;Salares;;139;0;139;90;2;1;49;88;87;8;9;0;1;0;11;0;38;17;0;0;1;0;1;0;0;1;0
29;86;Sayalonga;;768;0;768;380;4;7;388;376;369;25;37;0;3;0;31;0;152;113;1;2;3;0;0;1;1;0;0
29;87;Sedella;;362;0;362;232;5;5;130;227;222;36;28;1;1;1;46;2;64;40;0;0;2;0;0;1;0;0;0
29;904;Serrato;;419;0;419;321;9;0;98;312;312;14;6;0;2;0;55;0;218;15;0;0;2;0;0;0;0;0;0
29;88;Sierra de Yeguas;;2.699;1;2.700;1.580;120;16;1.120;1.460;1.444;198;113;0;18;1;204;0;549;352;2;0;0;0;0;4;1;1;1
29;89;Teba;;3.172;5;3.177;2.053;84;28;1.124;1.969;1.941;116;122;3;15;0;852;4;574;209;2;0;28;0;0;8;1;2;5
29;90;Tolox;;1.653;0;1.653;997;14;10;656;983;973;167;186;0;4;0;70;1;251;281;2;0;0;0;1;7;0;2;1
29;901;Torremolinos;;44.374;6;44.380;24.666;286;321;19.714;24.380;24.059;5.250;3.287;26;656;12;3.857;30;4.521;6.075;106;16;28;47;22;53;4;22;47
29;91;Torrox;;9.392;0;9.392;5.503;118;81;3.889;5.385;5.304;818;530;7;90;3;860;7;1.346;1.594;6;1;11;4;4;17;2;1;3
29;92;Totalán;;570;0;570;335;12;5;235;323;318;47;20;0;5;0;76;1;119;41;2;1;0;0;1;2;0;2;1
29;93;Valle de Abdalajís;;2.158;1;2.159;1.299;26;15;860;1.273;1.258;124;85;3;15;0;190;3;516;308;4;0;4;2;0;2;1;0;1
29;94;Vélez-Málaga;;59.020;0;59.020;32.955;512;471;26.065;32.443;31.972;5.926;3.839;43;742;24;4.137;737;7.993;8.084;95;19;60;70;15;110;8;19;51
29;95;Villanueva de Algaidas;;3.313;0;3.313;2.063;122;38;1.250;1.941;1.903;242;72;2;28;2;319;10;888;300;5;4;8;3;2;14;0;1;3
29;902;Villanueva de la Concepción;;2.586;0;2.586;1.249;38;11;1.337;1.211;1.200;192;65;2;16;0;128;0;568;210;1;1;1;3;0;8;3;1;1
29;98;Villanueva de Tapia;;1.228;0;1.228;781;23;11;447;758;747;111;30;3;4;0;54;0;333;134;69;1;1;3;0;2;1;0;1
29;96;Villanueva del Rosario;;2.736;0;2.736;1.595;38;23;1.141;1.557;1.534;187;69;1;30;4;268;6;726;213;8;3;5;0;3;4;0;0;7
29;97;Villanueva del Trabuco;;4.161;0;4.161;2.509;77;52;1.652;2.432;2.380;355;146;5;40;2;292;7;1.096;383;7;5;7;6;3;13;4;3;6
29;99;Viñuela;;961;0;961;644;19;18;317;625;607;73;36;1;6;0;54;3;285;140;1;1;2;0;1;3;0;0;1
29;100;Yunquera;;2.358;0;2.358;1.380;35;27;978;1.345;1.318;154;70;1;6;0;144;3;577;345;1;2;1;1;1;9;1;0;2
29;990;Residentes Ausentes Málaga;;52.760;0;52.760;1.471;3;13;51.289;1.468;1.455;335;102;6;36;4;351;7;317;214;33;3;4;18;4;4;3;2;12
Total;;;;1.185.216;50;1.185.266;642.691;10.304;8.944;542.575;632.387;623.443;125.235;72.729;788;15.866;483;99.075;2.435;152.977;142.746;3.199;456;1.234;1.130;497;2.350;374;500;1.369
